,_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,EKITALDIA/EJERCICIO,SAILA/DEPARTAMENTO,SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_EU,SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_CAS,ZENTRU KUDEATZAILEA/CENTRO GESTOR,ZENTRO KUDEATZAILEAREN DESKR._EUS/DESCR. CENTRO GESTOR_EUS,ZENTRO KUDEATZAILEAREN DESKR._CAS/DESCR. CENTRO GESTOR_CAS,GASTU ARLOA/AREA DE GASTO,GASTU ARLOAREN DESKRIBAPENA_EUS/DESCRIPCION AREA DE GASTO_EUS,GASTU ARLOAREN DESKRIBAPENA_CAS/DESCRIPCION AREA DE GASTO_CAS,GASTU POLITIKA/POLITICA DE GASTO,GASTU POLITIKAREN DESKR.EUS/DESCR. POLITICA DE GASTO_EUS,GASTU POLITIKAREN DESKR._CAS/DESCR. POLITICA DE GASTO_CAS,TALDEA/GRUPO,TALDEAREN DESKRIBAPENA_EUS/DESCRIPCION GRUPO_EUS,TALDEAREN DESKRIBAPENA_CAS/DESCRIPCION GRUPO_CAS,PROGRAMA/PROGRAMA,PROGRAMAREN DESKRIBAPENA_EUS/DESCRIPCION PROGRAMA_EUS,PROGRAMAREN DESKRIBAPENA_CAS/DESCRIPCION PROGRAMA_CAS,KAPITULUA/CAPITULO,KAPITULUAREN DESKRIBAPENA_EUS/DESCRIPCION CAPITULO_EUS,KAPITULUAREN DESKRIBAPENA_CAS/DESCRIPCION CAPITULO_CAS,ARTIKULUA/ARTICULO,ARTIKULUAREN DESKRIBAPENA_EUS/DESCRIPCION ARTICULO_EUS,ARTIKULUAREN DESKRIBAPENA_CAS/DESCRIPCION ARTICULO_CAS,KONTZEPTUA/CONCEPTO,KONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION CONCEPTO_EUS,KONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION CONCEPTO_CAS,AZPIKONTZEPTUA/SUBCONCEPTO,AZPIKONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION SUBCONCEPTO_EUS,AZPIKONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION SUBCONCEPTO_CAS,PROIEKTUA/PROYECTO,PROIEKTUAREN DESKRIBAPENA/DESCRIPCION PROYECTO,HASIERAKO KREDITUA/CREDITO INICIAL 2023
170,171,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,47,ENPRESA PRIBATUENTZAKO TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES A EMPRESAS PRIVADAS,471,BESTE ENPRESA PRIBATU BATZUENTZAKO TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES A OTRAS EMPRESAS PRIVADA,47199,BESTE ENPRESA PRIBATU BATZUENTZAKO TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES A OTRAS EMPRESAS PRIVADA,2023/00044,Gazte konpainia/ Compańia Joven,"20.000,00"
171,172,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,480,TRANSFERENTZIA ARRUNTAK FAMILIEI,TRANSFERENCIAS CORRIENTES A FAMILIAS,48099,BESTE TRANSFERENTZIA ARRUNT BATZUK FAMILIEI,OTRAS TRANSFERENCIAS CORRIENTES A FAMILIAS,2023/00012,Egoitza artistikoak:BILBAOESZENA/ Residencias artísticas: BILBAOESZENA,"12.000,00"
172,173,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00003,PAGOA ELKARTEA:Txotxongiloen nazioarteko jaialdia/ PAGOA elkartea: Festival Internacional de títeres,"25.000,00"
173,174,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00004,Alex Angulo saria Arte eszenikoak/ Premio Alex Angulo de Artes Escenicas,"3.000,00"
174,175,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00018,Bilboko Gazteria musikalak: musikari gazteei promozioa/ Juventudes Musicales de Bilbao: Promoción jóvenes músicos,"3.610,00"
175,176,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00021,MEM jaialdia arte esperimentala/ Festival MEM arte experimental,"6.000,00"
176,177,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00023,Bilboko Coral elkartea/ La Sociedad Coral de Bilbao,"50.000,00"
177,178,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00024,Puertas Abiertas-La Fundicion elkartea/ Asociación Puertas Abiertas-La Fundición,"51.000,00"
178,179,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00026,MITUSU elkartea: Umeentzako antzerkia/ Asociación MITUSU: Teatro infantil,"14.160,00"
179,180,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00030,"6. pabilioia – arte eszenikoak, urteko programazioa/ Pabellón 6: artes escénicas, programación anual","25.000,00"
180,181,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00032,Bilbaina Jazz Club/ Bilbaina Jazz Club,"18.000,00"
181,182,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00036,Kafe Antzokia/ Kafe Antzokia,"50.000,00"
182,183,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00037,Akordeoiaren Bizkaiko Elkartea/ Asociación Vizcaína del Acordeón,"35.000,00"
183,184,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00038,Te Atrako Antzerkia: Act Festival/ Te Atrako Teatro: Act Festival,"23.000,00"
184,185,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00040,Zabalguneko Korala/ Masa Coral del Ensanche,"5.000,00"
185,186,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00041,Harrobia elkartea/ Asociación Harrobia,"20.000,00"
186,187,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00043,Opera Lagun Bilboko Elkartea (OLBE)/ Asociación Bilbaina Amigos de la Ópera (ABAO),"255.000,00"
187,188,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00047,Umeen Antzerkirako sariak/ Premios Teatro Escolar,"8.000,00"
188,189,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,6,INBERTSIO ERREALAK,INVERSIONES REALES,68,GASTUAK ONDARE ONDASUNETAKO INBERTSIOETAN,GASTOS EN INVERSIONES DE BIENES PATRIMONIALES,682,ERAIKINAK ETA BESTE ONDARE ERAIKUNTZA BATZUK,EDIFICIOS Y OTRAS CONSTRUCCIONES PATRIMONIALES,68201,ERAIKINAK ETA BESTE ONDARE ERAIKUNTZA BATZUK,EDIFICIOS Y OTRAS CONSTRUCCIONES PATRIMONIALES,2023/00059,Areto nagusiko hornidura hobetzea/ Mejora dotación salón de actos,"23.200,00"
189,190,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,6,INBERTSIO ERREALAK,INVERSIONES REALES,68,GASTUAK ONDARE ONDASUNETAKO INBERTSIOETAN,GASTOS EN INVERSIONES DE BIENES PATRIMONIALES,682,ERAIKINAK ETA BESTE ONDARE ERAIKUNTZA BATZUK,EDIFICIOS Y OTRAS CONSTRUCCIONES PATRIMONIALES,68201,ERAIKINAK ETA BESTE ONDARE ERAIKUNTZA BATZUK,EDIFICIOS Y OTRAS CONSTRUCCIONES PATRIMONIALES,2023/00060,Bilbaoeszenaren modernizazioa/ Modernización de Bilbaoeszena,"50.000,00"
190,191,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1101,KULTURAKO ZUZENDARITZA,DIRECCIÓN CULTURA.,3, LEHENTASUNEZKO ONDASUN PUBLIKOEN EKOIZPENA,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFEREN,33,KULTURA,CULTURA,334,KULTURAREN SUSTAPENA,PROMOCIÓN CULTURAL,3341,ARTE ESZENIKOAK,ARTES ESCÉNICAS,7,KAPITAL TRANSFERENTZIAK,TRANSFERENCIAS DE CAPITAL,73,KAPITAL TRANSFERENTZIAK UDALERRIARI,TRANSFERENCIAS DE CAPITAL AL MUNICIPIO,733,KAPITAL TRANSFERENTZIAK ERAKUNDEAREN SOZIETATE PUBLIKOETARA,TRANSFERENCIAS DE CAPITAL A SOCIEDADES PUBLICAS DE,73303,"KAPITAL TRANSFERENTZIAK ARRIAGA KJZ, SA-RI",TRANSFERENCIAS DE CAPITAL AL C.A.C. TEATRO ARRIAGA,2023/00050,Transferentzia kapital Teatro Arriaga/ Transferencia capital Teatro Arriaga,"300.000,00"
